address,name,location,liked_food_from_review,latitude,longitude,rank
"Unit T-1, Third Floor, Sampige Road, Mantri Square Mall, Malleshwaram, Bangalore",Barbecue by Punjab Grill,Malleshwaram,"['pan ice cream', 'dal', 'momos', 'grill', 'roll', 'tea', 'ice cream', 'phirni', 'smiley', 'corn masala', 'kebab', 'steamed rice', 'naan', 'crispy corn', 'dal makhani', 'fish', 'brownie', 'vanilla', 'gulkand', 'roti', 'apple', 'mushroom hara pyaz', 'dosa', 'watermelon', 'chicken', 'peach ice tea', 'rice', 'gulkand ice cream', 'grilled prawns', 'ida', 'passion fruit', 'veg kebab', 'mushroom curry', 'cake', 'paan ice cream', 'rotis', 'paan', 'peach', 'sweet', 'fried rice', 'vanilla ice cream', 'chilli mushroom', 'prawns', 'chicken wings', 'pineapple', 'ice tea', 'mojito', 'passion fruit mojito', 'veg', 'mushroom', 'lime']",13.0027353,77.5703253,426.0
"154, 8th Main Road, 3rd Block, Koramangala 3rd Block, Bangalore",154 Breakfast Club,Koramangala 3rd Block,"['chocolate', 'chocolate milkshake', 'masala omelette sandwich', 'banana pancake', 'bread', 'chilli pork', 'sunshine', 'shakes', 'dosa', 'chicken', 'cheese omelette', 'strawberry chocolate', 'baked beans', 'ida', 'bacon', 'cheese', 'cake', 'coffee', 'filter coffee', 'chocolate syrup', 'hot chocolate', 'scrambled egg', 'sunny side up', 'sausage', 'burger', 'eggs', 'chicken cheese sandwich', 'black coffee', 'veg', 'chicken breakfast', 'omelette sandwich', 'sausages', 'chicken sausage', 'bacon and egg', 'pork sausage', 'breakfast platter', 'spinach and mushroom omelette', 'veggies', 'chilli chicken', 'egg', 'salad', 'cold coffee', 'banana', 'milk', 'bacon cheese omelette', 'toast', 'chicken cheese', 'scram', 'classic waffles', 'latte', 'rich chocolate', 'fried chilli pork', 'sev', 'sandwich', 'pancake', 'masala omelette', 'waffles', 'classic', 'choco', 'pasta', 'barbeque chicken', 'chocolate milkshak', 'milkshake', 'rice', 'chicken sausages', 'lassi', 'pancakes', 'waffle', 'omelet', 'sunny side', 'all meat', 'sweet', 'english breakfast', 'spinach and mushroom', 'scrambled eggs', 'bun', 'pork sausages', 'watermelon juice', 'tea', 'strawberry', 'cheese sandwich', 'cappuccino', 'non veg breakfast platter', 'chocolate milk', 'cold coffe', 'hot choco', 'veg breakfast platter', 'watermelon', 'omlette', 'butter', 'beans and toast', 'classic waffle', 'melon juice', 'banana waffle', 'non-veg', 'omelette', 'mushroom omelette', 'veggie', 'mushroom']",12.9282918,77.6254034,427.0
"429/31, 30th Cross, 4th Block, Jayanagar, Bangalore",Kollapuri's,Jayanagar,"['lemon chicken', 'kulcha', 'ragi mudde', 'kabab', 'biryani rice', 'naan', 'kebab', 'puri', 'pakoda', 'chapati', 'chicken liver dry', 'chicken liver', 'liver fry', 'fish', 'chicken 65', 'pepper chicken', 'mutton kheema ball', 'roti', 'chicken pepper', 'dum biryani', 'veggies', 'mutton chops', 'mutton kheema', 'fish tikka', 'chicken biriyani', 'pulav', 'mushroom kabab', 'egg', 'roti.', 'butter roti.', 'chicken', 'ragi ball', 'fish fry', 'butter', 'rice', 'puri chicken', 'chicken curry', 'tandoori', 'butter roti', 'boneless fish', 'lassi', 'kheema', 'biriyani rice.', 'pepper chicken dry', 'mudde', 'veggie lover', 'chicken kabab', 'omelet', 'veg starter', 'non-veg', 'kulcha.', 'veg starters', 'chicken soup', 'chicken dry', 'chapathi', 'sweet', 'fried rice', 'chicken raja', 'veggie', 'tandoori kabab', 'pudina chicken', 'veg', 'khushka', 'mushroom', 'biriyani rice']",12.9292731,77.5824229,428.0
"12, 10th B Main, 31st Cross Road, 4th Block, Jayanagar, Bangalore",Krazzy Folds,Jayanagar,"['pasta', 'poached egg', 'cheesy fries', 'roasted', 'tea', 'pita bread', 'mac and cheese pasta', 'lasagna', 'strawberry', 'cheese sandwich', 'pizza', 'mexican cheesy fries', 'fish', 'bread', 'blueberry', 'vanilla', 'pomegranate', 'tiramisu', 'chilli jam', 'chicken taco', 'mac n cheese pasta', 'veggies', 'cheesecake', 'shakes', 'egg', 'paneer', 'mac n cheese', 'chicken', 'veg enchilada', 'milk', 'red velvet shake', 'milkshake', 'rice', 'lasagne', 'chicken stroganoff', 'strawberry milkshake', 'peanut', 'panna cotta', 'cheese', 'latte', 'chicken tacos', 'blueberry cheesecake', 'cake', 'stroganoff', 'coffee', 'bruschetta', 'non-veg', 'dumpling', 'sandwich', 'garlic bread', 'nachos', 'chicken nachos', 'sausage', 'chai', 'red velvet', 'eggs', 'blueberry cheese', 'cheese pasta', 'mac and cheese', 'veggie', 'chicken stroganoff sizzler', 'ice tea', 'fries', 'macaroni', 'milk shakes', 'red velvet cake', 'veg', 'cheesy', 'mojito', 'mushroom', 'veg lasagne', 'lime', 'hummus', 'chicken lasagna']",12.9292731,77.5824229,429.0
"Next to New Horizon Gurukul School, Behind Cessna Business Park, Bellandur, Bangalore",Cafe Olive,Bellandur,"['cutlet', 'pasta', 'chocolate', 'veg pasta', 'cutlets', 'banana shake', 'the chicken burger', 'fresh veggie', 'tea', 'salads', 'ginger pickle', 'pesarattu', 'spaghetti', 'noodles', 'pizza', 'bread', 'garlic bread and cheese', 'veg burger', 'peri peri chicken', 'chicken pizza', 'barbeque pizza', 'wedges', 'french fries', 'anise', 'veggies', 'salad', 'barbecue chicken', 'egg', 'dosa', 'chicken', 'chocolate banana shake', 'banana', 'vegetable burger', 'chicken strips', 'pickle', 'rice', 'peanut', 'chicken strip', 'toast', 'cheese', 'veg pizza', 'pesto pasta', 'cheese ball', 'coffee', 'veg starter', 'chicken burger', 'veg cheese burger', 'chocolate shake', 'pesto', 'vegetarian burger', 'sandwich', 'veg starters', 'garlic bread', 'nachos', 'burger', 'cool breeze', 'cheese toast', 'croquettes', 'veggie', 'choco', 'pesarettu', 'fries', 'cheese balls', 'veg', 'cheese burger', 'bun']",12.93103185,77.6782471,430.0
"Shop 1, New 22, New BEL Road, Bangalore",Doner Bel,New BEL Road,"['charcoal', 'kebab roll', 'kabab', 'grill', 'roll', 'falafel roll', 'salads', 'fresh veggie', 'chicken kebab', 'kebab', 'coke', 'chicken doner', 'fish', 'roti', 'french fries', 'falafel wrap', 'mixed grill', 'basa fish', 'paneer chilli.', 'veggies', 'chicken doner wrap', 'salad', 'egg', 'paneer', 'chicken', 'kebab platter', 'mixed grill platter', 'rice', 'capsicum', 'ida', 'latte', 'hummus pita', 'chicken tikka kebab', 'non-veg', 'paneer chilli', 'falafel', 'burger', 'chai', 'tomato salad', 'chicken tikka', 'veggie', 'chicken kofta', 'shawarma', 'fries', 'veg', 'hummus', 'chicken wrap']",13.0400592,77.5635717,431.0
"501, Binnamangala Extension, 1st stage, C.M.H Road, Indiranagar, Bangalore",Onesta,Indiranagar,"['chocolate', 'barbeque chicken', 'tea', 'mop', 'mushroom pizza', 'spaghetti', 'dates', 'pizza', 'coke', 'fish fingers', 'fish', 'cheese cake', 'chicken pizza', 'chocolate mousse', 'wedges', 'farmhouse', 'hot choco', 'cocktail', 'stuffed chicken', 'chocolate cake', 'paneer', 'chicken', 'bacon wrapped prawn', 'farm house veg pizza', 'rice', 'margherita', 'cheese sticks', 'peanut', 'paneer pizza', 'barbeque chicken pizza', 'cheese', 'pepper prawn', 'chocolate pizza', 'bacon', 'bacon wrapped prawns', 'veg pizza', 'cake', 'spinach paneer', 'mocha', 'hot chocolate', 'ravioli', '3 cheese', 'cock', 'mocha chocolate cake', 'chai', 'sweet', 'lime', 'cheese stick', 'om pizza', 'limited meal', 'chicken tikka', 'choco', 'chicken tikka pizza', 'double chocolate cake', 'chocolate cake slice', 'prawns', 'fries', 'veg', 'mushroom', 'farmhouse pizza', 'fish finger']",12.9732913,77.6404672,432.0
"85/3, Chamundeshwari Layout, Arekere , Near Paramount Pilatus, Bannerghatta Road, Bangalore",Zaika Take Away,Bannerghatta Road,"['kulcha', 'butter naan', 'momos', 'kabab', 'roll', 'tea', 'naan', 'paneer manchuri', 'potato chilly', 'noodles', 'bread', 'hakka noodle', 'chicken gravy', 'veg noodle', 'roti', 'paneer 65', 'masala curry', 'veg chinese combo', 'paneer', 'chicken', 'garlic noodles', 'crispy veg', 'butter', 'kadhai chicken', 'shahi paneer', 'butter naan.', 'rice', 'veg', 'veg noodles', 'garlic butter naan', 'hakka noodles', 'naan.', 'veg hakka noodles', 'veg hakka noodle', 'rotis', 'paneer manchurian', 'cool breeze', 'butter masala', 'mayo', 'paneer manchuria', 'chilly potato', 'paratha', 'chilli potato', 'fried rice', 'chicken tikka', 'honey chilly potato', 'thali', 'chinese combo', 'butter kulcha', 'mayonnaise', 'chicken tikka masala']",12.9521804,77.6041899,433.0
"5M-403, 1st Floor, 5th Main, 2nd Block, HRBR Layout, Kalyan Nagar, Bangalore",Cafe Pink Pajamas,Kalyan Nagar,"['chocolate', 'chocolate milkshake', 'mixed veg', 'alfredo', 'chicken alfredo', 'salads', 'bread', 'alfredo spaghetti', 'chicken', 'hash browns', 'hot beverage', 'cheese', 'green apple mojito', 'coffee', 'hot chocolate', 'burger', 'chicken sliders', 'cheese garlic bread', 'fish burger', 'veg', 'poppers', 'spaghetti', 'veg burger', 'salad', 'cold coffee', 'milk', 'latte', 'sandwich', 'fish and chips', 'jalapeno cheese poppers', 'garlic bread', 'chicken nachos', 'chai', 'choco', 'hazelnut', 'hummus', 'pasta', 'pizza', 'fish', 'chocolate milkshak', 'apple mojito', 'red sauce pasta', 'milkshake', 'rice', 'hash brown', 'omelet', 'chilli cheese', 'hazel', 'chicken sandwich', 'club sandwich', 'veg nachos', 'mojito', 'corn pizza', 'cheese poppers', 'strawberry', 'tea', 'veg platter', 'chocolate milk', 'chicken pizza', 'ice coffee', 'french fries', 'cold coffe', 'hot choco', 'apple', 'chicken lollipop', 'mixed veg nachos', 'chicken strip', 'lollipop', 'hazelnut cold coffee', 'chilli cheese garlic bread', 'omelette', 'nachos', 'nachos with cheese', 'cheesy omelette', 'mix veg', 'chicken wings', 'fries', 'cheesy', 'green apple']",13.0221416,77.6403368,434.0
"172/1, Unit 3, 3rd Floor, Vega City Mall, Srinivasa Industrial Estate, Bannerghatta Road, Bangalore",Chianti,Bannerghatta Road,"['chocolate', 'salads', 'cream of mushroom', 'lasagna', 'bread', 'mango', 'cheesecake', 'chicken', 'chicken bruschetta', 'panna cotta', 'cheese', 'bacon', 'veg pizza', 'choco brownie', 'cake', 'bruschetta', 'pesto', 'pannacotta', 'cherry', 'chicken breast', 'grilled salmon', 'chocolate bomb', 'veg', 'lime', 'dal', 'grill', 'cream of mushroom soup', 'stuffed mushrooms', 'spaghetti', 'brushetta', 'brownie', 'tiramisu', 'salad', 'latte', 'garlic bread', 'chai', 'lamb chops', 'vegetarian platter', 'choco', 'mash potato', 'mushroom soup', 'prawns', 'pork ribs', 'pink sauce pasta', 'hazelnut', 'pasta', 'pizza', 'fish', 'white sauce pasta', 'cocktail', 'stuffed chicken breast', 'red sauce pasta', 'stuffed mushroom', 'rice', 'make your own', 'pesto pasta', 'beef steak', 'ravioli', 'rustica pizza', 'hazel', 'peach', 'sweet', 'chicken penne pasta', 'bun', 'strawberry', 'tea', 'veg platter', 'chicken penne', 'smoked chicken', 'stuffed chicken', 'non veg platter', 'champagne', 'fillet mignon', 'cock', 'fettuccine pasta', 'cheesy', 'mushroom', 'choco mousse']",12.9521804,77.6041899,435.0
"37/2, Chicago Avenue, Opposite Fortis Hospital, Cunningham Road, Bangalore",Pasta Street,Cunningham Road,"['chicken pasta', 'pasta', 'barbeque chicken', 'minced chicken', 'grilled basa', 'cream soup', 'chocolate', 'litchi shake', 'grill', 'tea', 'roll', 'grilled basa fish', 'lasagna', 'lasagne in bianco', 'strawberry cheese cake', 'strawberry', 'veg platter', 'pizza', 'cheese cake', 'bread', 'fish', 'pepper chicken', 'cheesy garlic bread', 'veggies', 'paprika paneer grande pizza', 'supreme pizza', 'basa fish', 'grilled mushroom', 'cheddar cheese', 'egg', 'paprika paneer', 'paneer', 'primavera', 'chicken', 'salad', 'creamy spinach pasta', 'rice', 'fruit punch', 'lasagne', 'pink pasta', 'ginger lime', 'cheese', 'latte', 'supreme', 'cake', 'warm salad', 'death by chocolate', 'ravioli', 'pesto', 'chicken soup', 'garlic bread', 'seafood pizza', 'cheese pasta', 'veggie', 'litchi', 'barbeque chicken wings', 'choco', 'mushroom soup', 'chicken wings', 'rusk', 'mojito', 'veg', 'cheesy', 'mushroom', 'lime']",12.9859035,77.5958864,436.0
"4, Sai Arcade,1st Floor, Wilson Garden Society, Kothnur Main Road, 7th Phase, JP Nagar, Bangalore",Deccan Spice,JP Nagar,"['non veg combo', 'double ka meetha', 'fulka', 'babycorn pepper', 'tea', 'corn pepper dry', 'green salad', 'noodles', 'chicken gravy', 'pepper chicken', 'veg pulao', 'roti', 'south thali', 'shakes', 'veg combo', 'egg', 'salad', 'paneer', 'paneer tikka', 'chicken', 'tandoori chicken', 'andhra meal', 'rice', 'tandoori chicken.', 'tandoori', 'ulavacharu biryani', 'corn pepper', 'chicken biryan', 'pepper dry', 'sweet', 'chicken biryani', 'pulao', 'prawns', 'thali', 'rabadi', 'veg', 'babycorn pepper dry', 'lime']",12.9120761,77.57939318031076,437.0
"International Bay, Campus 8/A, RMZ Ecoworld, Bellandur, Bangalore",Bombay Brasserie,Bellandur,"['chocolate', 'butter naan', 'bread pudding', 'kabab', 'bread', 'chicken starters', 'roti', 'paneer', 'almond', 'chicken', 'lotus', 'veg curry', 'tomato soup', 'ida', 'lychee', 'cheese', 'butter chicken', 'boti', 'rotis', 'stuffed kulcha', 'chicken biryan', 'mayo', 'butter garlic naan', 'butter masala', 'paratha', 'veg', 'mayonnaise', 'chicken butter masala', 'chicken gravy', 'chicken almond soup', 'chilli cheese kulcha', 'sweet lassi', 'butter roti', 'capsicum', 'veg starter', 'chai', 'chicken tikka masala.', 'classic', 'chicken tikka', 'choco', 'kulcha', 'fish', 'chicken butter', 'cheese kulcha', 'cocktail', 'rice', 'roasted chicken', 'tandoori', 'lassi', 'coconut rice', 'garlic naan', 'butter garlic', 'chilly cheese', 'kashmiri naan', 'veg starters', 'chole kulcha', 'chilli cheese', 'sweet', 'chicken tikka masala', 'bun', 'roasted', 'ice cream', 'tea', 'strawberry', 'naan', 'kebab', 'pepper wings', 'vegetable curry', 'paneer tikka', 'butter', 'chocolate sauce', 'naan.', 'anar', 'chole', 'paneer starters', 'chicken kabab', 'cock', 'chicken biryani', 'chicken wings', 'fries', 'butter chicken gravy', 'mushroom', 'papad']",12.93103185,77.6782471,438.0
"204, 2nd Level, 4th Floor, Comet Block, UB City, Vittal Mallya Road, Lavelle Road, Bangalore",Sriracha,Lavelle Road,"['tres leches pastry', 'chocolate', 'spring roll', 'roasted', 'mixture', 'laksa soup', 'tea', 'roll', 'dark chocolate mousse', 'rice noodles', 'pastry', 'noodles', 'fish', 'hakka noodle', 'chicken starters', 'veg noodle', 'chocolate mousse', 'chicken wanton', 'prawn roll', 'cocktail', 'garlic sauce', 'salad', 'sushi platter', 'chicken', 'buns', 'milk', 'milk cake', 'dessert of the day', 'veg', 'rice', 'veg noodles', 'peanut', 'hakka noodles', 'latte', 'papaya salad', 'cake', 'cashew', 'wasabi', 'cashew nuts', 'schezwan chicken', 'chicken wanton soup', 'dark chocolate', 'cranberry', 'chicken hakka noodle', 'dumpling', 'veg starter', 'cock', 'sev', 'veg starters', 'tom yum soup', 'chicken with cashew nuts', 'green papaya salad', 'sweet', 'fried rice', 'basil chicken', 'black tea', 'choco', 'chicken wings', 'prawns', 'bun', 'papaya', 'tuna', 'mushroom', 'chicken hakka noodles', 'spring rolls', 'ginger lamb']",12.9749487,77.5997248,439.0
"337, 27th Main, HSR, Bangalore",Kapoor's Cafe,HSR,"['rajma chawal', 'kulcha', 'dal', 'regular chai', 'tea', 'pav bhaji', 'dry fruit lassi', 'smiley', 'pav', 'shahi tukra', 'puri', 'pakoda', 'dates', 'crispy corn', 'on demand', 'coke', 'bread', 'dal makhni', 'roti', 'phulka', 'shahi tukda', 'french fries', 'sweet lassi', 'almond', 'paneer', 'chicken', 'mix veg paratha', 'kulcha combo', 'milk', 'butter', 'chaas', 'veg paratha', 'raita', 'pyaz paratha', 'rice', 'bhaji', 'onion paratha', 'do pyaza', 'fruit lassi', 'lassi', 'cheese', 'latte', 'chole', 'rajma', 'cheese ball', 'punjabi chole', 'bhurji', 'rotis', 'fruit and cream', 'kulcha.', 'spicy fries', 'cheese pakora', 'hulk', 'bhature', 'combo meal', 'chai', 'sweet', 'dry fruit', 'paratha', 'aloo parantha', 'chilli paratha', 'curd', 'mix veg', 'paneer lababdar', 'pappad', 'fries', 'cheese balls', 'veg', 'cheesy', 'cheese paratha', 'mushroom', 'papad', 'bun']",12.9116225,77.6388622,440.0
"633/B555, Panduranga Nagar, Near Arekere Gate, Bannerghatta Road, Bangalore",Hyderabadi Bawarchi,Bannerghatta Road,"['roasted', 'kabab', 'tea', 'biryani rice', 'kebab', 'chicken boneless biryani', 'fish', 'pepper chicken', 'hyderabadi chicken dum biriyani', 'dum biryani', 'veggies', 'sticky rice', 'tuna', 'chicken biriyani', 'pepper paneer', 'chicken biryani combo', 'salad', 'egg', 'paneer', 'chicken', 'butter', 'chicken briyani', 'raita', 'chicken fry', 'rice', 'boneless chicken biriyani', 'ghee rice', 'boneless chicken biryani', 'briyani combo', 'butter chicken', 'hyderabadi chicken', 'chicken dum biriyani', 'veg starter', 'boneless chicken', 'veg starters', 'boneless chicken biriyani.', 'boneless chicken biryani combo', 'chicken biryan', 'kushka', 'chicken biryani', 'ghee rice with butter chicken', 'limited meal', 'biryani combo', 'veggie', 'hyderabadi biryani', 'prawns', 'salan', 'mutton fry', 'rabadi', 'veg', 'boneless biryani', 'fried chicken']",12.9521804,77.6041899,441.0
"Shanepunjabie Building, Ground Floor, ECC Road Patandur Agrahara, Whitefield, Bangalore",Shan-e-Punjabi Express,Whitefield,"['dal', 'chilli chicken dry', 'phulka', 'roti', 'chilli chicken', 'chicken fried rice', 'chicken biriyani', 'dosa', 'roti.', 'paneer', 'chicken', 'butter', 'tandoori chicken', 'rice', 'tandoori', 'do pyaza', 'lassi', 'butter chicken', 'rotis', 'butter paneer', 'thumbs up', 'chicken dry', 'hulk', 'fried rice', 'curd', 'sambar']",12.9696365,77.7497448,442.0
"Opposite Velankani Gate 2, Phase1, Electronic City, Bangalore",Magic Bowl,Electronic City,"['kulcha', 'veg manchurian ball', 'tea', 'paneer biriyani', 'naan', 'kebab', 'puri', 'manchurian balls', 'fish', 'roti', 'flash', 'paneer butter masala', 'chicken biriyani', 'salad', 'paneer', 'chicken', 'veg biryani', 'mushroom pepper', 'butter', 'tandoori chicken', 'raita', 'rice', 'methi naan', 'tandoori', 'prawn biryani', 'ida', 'soda', 'lemon soda', 'boneless chicken biryani', 'veg manchurian', 'gobi tikka', 'non-veg', 'boneless chicken', 'sev', 'masala kulcha', 'kalmi', 'paneer butter', 'kalmi kebab', 'chicken biryan', 'butter masala', 'sweet', 'chicken biryani', 'fried rice', 'coriander soup', 'paneer biryani', 'veg kolhapuri', 'birthday treat', 'prawns', 'special boneless chicken biryani', 'rabadi', 'drums of heaven', 'veg', 'veg manchurian balls', 'mushroom', 'boneless chicken biriyani', 'matar paneer']",12.8487599,77.64825295827616,443.0
"Escape Hotel & Spa, 770, HAL 2nd Stage, 100 Feet Road, Indiranagar, Bangalore",Bricklane,Indiranagar,"['chocolate', 'roast lamb', 'kabab', 'mustard chicken', 'mango', 'white house', 'virgin mary', 'jerk chicken', 'pulav', 'dosa', 'chicken', 'lotus', 'chocolate mud pot', 'fruit punch', 'ida', 'cheese', 'instant coffee', 'raspberry', 'butter chicken', 'veggie lover', 'coffee', 'filter coffee', 'upma', 'thumbs up', 'cheese pizza', 'mashed potatoes', 'veg', 'mutton ghee roast', 'potato wedges', 'wedges', 'basa fish', 'beetroot tikki', 'fish tikka', 'mutton ghee', 'egg', 'semiya', 'latte', 'vegetarian pizza', 'custard', 'waffles', 'chicken tikka', 'choco', 'prawns', 'mushroom soup', 'mashed potato', 'tandoori fish tikka', 'mushroom cheese pizza', 'hummus', 'pasta', 'masala dosa', 'pizza', 'fish', 'cocktail', 'rice', 'tandoori', 'waffle', 'ghee roast', 'omelet', 'chettinad chicken tikka', 'honey mustard chicken', 'sweet', 'mojito', 'bun', 'tea', 'veg platter', 'naan', 'mushroom and cheese', 'dates', 'chicken pizza', 'kofta curry', 'iced tea', 'watermelon', 'omlette', 'butter', 'chicken kabab', 'omelette', 'cock', 'masala omlette', 'veggie', 'chicken wings', 'feta cheese', 'fries', 'chettinad chicken', 'chicken chettinad', 'mushroom', 'chicken steak']",12.9732913,77.6404672,444.0
"29, Assaye Road, 1st Cross, Sindhi colony, Frazer Town, Bangalore",Oregano Pizzeria,Frazer Town,"['pasta', 'lamb lasagne', 'creamy pesto pasta', 'lamb burger', 'tea', 'lasagna', 'pizza', 'bread', 'assorted chicken', 'mango', 'masala garlic bread', 'veggies', 'egg', 'chicken', 'milk', 'rice', 'lasagne', 'cheese', 'mango shake', 'pesto pasta', 'chicken burger', 'hot dog', 'pesto', 'thumbs up', 'garlic bread', 'burger', 'mayo', 'cheese garlic bread', 'veggie', 'veg', 'cheesy', 'cheese masala', 'cheese masala garlic bread', 'chicken lasagna']",12.9986827,77.615525,445.0
"Opposite Snap Fitness, 12th Main Road, 4th Cross, HAL 2nd Stage, Indiranagar, Bangalore",Jonah's,Indiranagar,"['chicken pasta', 'chocolate', 'pasta', 'strawberry', 'tea', 'mop', 'pastry', 'stuffed mushrooms', 'noodles', 'pizza', 'fish', 'brownie', 'veg burger', 'chicken pizza', 'beef burger', 'ice coffee', 'smoked chicken', 'cocktail', 'chocolate delight', 'tuna', 'chicken club sandwich', 'chocolate cake', 'baby corn chil', 'paneer', 'chicken', 'sunset', 'bolognese', 'chocolate truffle', 'stuffed mushroom', 'rice', 'lasagne', 'ida', 'baby corn chilly', 'chicken club', 'latte', 'cake', 'coffee', 'chocolate truffle cake', 'baby corn', 'chilly billy veg burger', 'cock', 'sandwich', 'seafood pizza', 'burger', 'cool breeze', 'sweet', 'chilly potato', 'club sandwich', 'choco', 'fries', 'mojito', 'virgin mojito', 'veg', 'cheesy', 'mushroom', 'pinacolada']",12.9732913,77.6404672,446.0
"111/B, Ground Floor, 1st Main, 1st Stage, 1st Block, HBR Layout, Bangalore",Amma's Pastries,HBR Layout,"['samosa', 'chocolate', 'egg puff', 'ice cream', 'chicken puff', 'veg puff', 'pineapple pastries', 'biscuit', 'dates', 'pizza', 'oreo', 'mango', 'black forest', 'blueberry', 'cheesecake', 'green apple', 'apple', 'egg', 'white chocolate', 'chicken', 'butter', 'chocolate truffle', 'rice', 'black forest cake and', 'cheese', 'black forest cake', 'chocolate butterscotch', 'cake', 'blueberry cake', 'chocolate truffle cake', 'cookie', 'sandwich', 'plum cake', 'biscuits', 'chai', 'eggless', 'sweet', 'litchi', 'choco', 'cupcake', 'pineapple', 'donut', 'butterscotch', 'veg', 'veg puffs', 'fruit cake']",13.0358698,77.6323597,447.0
"27/4, Outer Ring Road, Stage 2, BTM, Bangalore",Fattoush,BTM,"['butter naan', 'smoothie', 'mango', 'roti', 'aloo matar', 'shakes', 'paneer', 'roti.', 'chicken', 'chilly garlic noodles', 'tandoori chicken', 'butter chicken', 'coffee', 'manchow soup', 'butter masala', 'eggs', 'paratha', 'schezwan chicken noodles', 'chicken noodle', 'lays', 'kpl', 'pahadi chicken', 'veg', 'crispy potato', 'dal', 'grill', 'pomogranate', 'chicken butter masala', 'mix schezwan noodles', 'noodles', 'pepper chicken', 'chicken manchow', 'kadhai paneer', 'salad', 'egg', 'veg biryani', 'smokey', 'latte', 'schezwan chicken', 'dew', 'veg starter', 'schezwan noodles', 'chicken tikka', 'shawarma', 'egg masala', 'egg chilly', 'hummus', 'schezwan noodle', 'smoothies', 'manchow', 'paneer biriyani', 'chicken rice', 'fish', 'chicken butter', 'egg chilly garlic noodles', 'paratha.', 'chicken manchow soup', 'rice', 'tandoori', 'boneless fish', 'stuffed paratha', 'fattoush', 'mango cream', 'chicken noodles.', 'sweet', 'chilli potato', 'schezwan chicken noodles.', 'water bottle', 'roasted', 'tea', 'veg platter', 'black pepper', 'naan', 'kebab', 'grill chicken', 'chicken fried rice', 'chicken biriyani', 'schezwan chicken noodle', 'mutton biryani', 'chicken lollipop', 'garlic noodles', 'butter', 'chilly garlic noodle', 'chicken noodles', 'lollipop', 'non-veg', 'chilly mushroom', 'chicken tandoor', 'fried rice', 'pahadi murg', 'tuna', 'mushroom']",12.91127585,77.60456543431182,448.0
"6, Krishna Nagar Industrial Area, Behind Forum Mall, BTM, Bangalore",Punjabi by Nature 2.0,BTM,"['chocolate', 'kabab', 'salads', 'dal makhani', 'phulka', 'roti', 'chocolate mousse', 'jalebi', 'cheesecake', 'paneer gravy', 'paneer', 'chicken', 'idli', 'murgh makhni', 'cheese', 'cake', 'coffee', 'aloo paratha', 'pindi chhole', 'rotis', 'veg kabab platter', 'dal makhani.', 'chicken biryan', 'paratha', 'dahi', 'galouti kebab', 'lays', 'veg', 'lime', 'reshmi kabab', 'dal', 'chicken kebab', 'puri', 'chole bhature', 'chicken kastoori', 'aloo tikki', 'shami kabab', 'salad', 'egg', 'cold coffee', 'raita', 'aloo tikki chat', 'latte', 'tandoori roti', 'lemon soda', 'egg kejriwal', 'fish and chips', 'chai', 'mutton curry', 'curd', 'kejriwal', 'choco', 'mushroom soup', 'chicken platter', 'rabdi', 'tawa masala', 'fish', '1 roti', 'gulab jamun', 'dahi kabab', 'tikki chat', 'rice', 'tandoori', 'lassi', 'soda', 'garlic naan', 'hulk', 'bhature', 'sweet', 'mattha', 'chicken malai kabab', 'jamun', 'naan', 'kebab', 'mini chole bhature trio', 'french fries', 'cold coffe', 'non veg kabab platter', 'chicken biriyani', 'minestrone soup', 'paneer tikka', 'kabab platter', 'mutton kebab', 'butter', 'naan.', 'chicken malai', 'chole', 'malai kabab', 'chicken shorba', 'chicken biryani', 'fries', 'mushroom']",12.91127585,77.60456543431182,449.0
"Level 1, Inorbit Mall, Plot 75, EPIP Area, Whitefield, Bangalore",The Square Table,Whitefield,"['roast chicken', 'kabab', 'palav', 'bread', 'chicken starters', 'tandoor platter', 'roti', 'paneer', 'chicken', 'tandoori chicken', 'classic chicken tikka', 'ida', 'cheese', 'mushroom', 'chicken biryan', 'panner tikka', 'ghee roast chicken', 'paratha', 'paneer shabnam', 'pulao', 'veg tandoor platter', 'fish kebab', 'veg', 'taftan naan', 'palak', 'dal', 'puri', 'chole bhature', 'tangri chicken', 'chicken gravy', 'shikanji', 'roomali roti', 'aloo tikki', 'fish tikka', 'sweet lassi', 'veg biryani', 'latte', 'tandoori roti', 'rasam', 'veg starter', 'ginger lemonade', 'chai', 'lemonade', 'classic', 'mutton curry', 'chicken tikka', 'rabdi', 'palak patta chaat', 'fish', 'pani puri', 'gulab jamun', 'murg methi', 'rice', 'chicken curry', 'tandoori', 'lassi', 'garlic naan', 'ghee roast', 'veg starters', 'bhature', 'sweet', 'choley', 'missi roti', 'wap', 'jamun', 'tea', 'naan', 'kebab', 'malpua', 'kolhapuri chicken', 'paneer tikka', 'taftan', 'boondi', 'butter', 'puri chicken', 'nargisi kofta', 'chole', 'lucknowi veg biryani', 'non-veg', 'alu jeera', 'chicken biryani', 'plain naan', 'homestyle mutton curry', 'daal makhani', 'mushroom masala']",12.9696365,77.7497448,450.0
